var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
crc32_tab,0,0,0
crc32_context,0,8,58
__undefined,0,0,0
g_6,0,4,0
g_16,1,2,25
g_42,0,2,30
g_51,0,4,27
g_65,2,0,16
g_66,2,2,0
g_67,2,0,13
g_90,1,3,0
g_94,1,4,13
g_124,1,2,0
g_125,2,12,27
g_149,2,3,18
g_183,1,2,10
g_207,1,0,18
g_209,1,6,12
g_238,1,10,14
g_240,0,3,0
g_260,0,8,15
g_261,5,4,11
g_263,0,0,7
g_268,0,1,9
g_306,0,0,9
g_346,1,1,6
g_348,3,3,18
g_350,1,4,0
g_378,0,0,0
g_395,0,4,5
g_640,0,3,0
g_665,0,0,0
g_779,0,1,4
g_801,0,2,6
g_813,0,0,3
g_814,0,2,0
g_819,0,0,0
g_837,0,0,0
g_930,0,0,0
g_935,0,1,5
g_974,0,0,0
g_1001,0,1,2
g_1010,0,1,1
g_1013,0,1,0
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
_IO_stdin_used,0,0,0
