var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
crc32_tab,0,0,0
crc32_context,0,8,44
__undefined,0,0,0
g_15,2,5,0
g_35,1,6,11
g_39,0,3,11
g_47,0,2,0
g_55,0,1,5
g_67,0,8,9
g_110,1,1,0
g_114,0,0,0
g_127,0,0,5
g_128,0,2,0
g_143,0,0,0
g_145,0,0,8
g_161,1,1,13
g_185,0,0,4
g_206,0,1,0
g_207,0,1,5
g_224,0,0,5
g_266,0,1,0
g_304,0,2,0
g_347,0,0,3
g_348,0,1,4
g_353,0,1,5
g_376,0,2,0
g_398,0,1,0
g_401,0,1,0
g_420,2,3,6
g_441,0,1,1
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
_IO_stdin_used,0,0,0
