var_name,constant_write,var_write,read
__abi_tag,0,0,0
completed.0,0,0,0
__do_global_dtor[...],0,0,0
__frame_dummy_in[...],0,0,0
g_2,1,1,9
g_21,0,1,2
g_22,1,2,9
g_23,0,5,5
g_24,0,1,6
g_29,0,0,9
g_70,0,3,7
g_76,2,3,12
g_86,1,4,1
g_117,1,7,2
g_123,0,1,9
g_162,0,1,7
g_184,1,2,10
g_248,0,8,2
g_252,0,0,0
g_253,0,1,7
g_256,2,6,0
g_295,0,0,4
g_296,2,3,3
g_330,2,3,9
g_356,0,0,4
g_369,0,0,6
g_389,1,1,2
g_509,0,1,0
g_510,0,3,3
g_511,0,0,1
g_512,0,1,2
g_516,0,0,1
g_592,0,1,1
g_627,0,1,1
g_714,0,0,0
g_715,0,2,0
g_716,1,1,0
g_717,0,0,0
g_718,0,0,0
g_719,1,0,0
g_720,0,0,2
g_721,0,1,3
g_726,0,0,0
g_727,0,3,2
g_868,0,0,2
g_906,0,0,0
__FRAME_END__,0,0,0
_DYNAMIC,0,0,0
_GLOBAL_OFFSET_TABLE_,0,0,0
csmith_sink_,0,69,0
_IO_stdin_used,0,0,0
